-nan -nan -nan -nan
inf inf inf inf
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
-nan -nan -nan -nan
inf inf inf inf
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
inf inf inf inf
-nan -nan -nan -nan
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf 1.11733e-06
inf inf inf 81542.9
inf inf inf 6664.06
inf inf inf 296751
inf inf inf 60776
inf inf inf 702.913
inf inf inf 17687.9
inf inf inf 434801
inf inf inf 409409
inf inf inf 21144.6
inf inf inf 1.33084e+06
inf inf inf 2.44123e-07
inf inf inf 3278.55
inf inf inf 37656.8
inf inf inf 103055
inf inf inf 222313
inf inf inf 27977.1
inf inf inf 85303.8
inf inf inf 117494
inf inf inf 341716
inf inf inf 208860
inf inf inf 241868
inf inf inf 17159.3
inf inf inf 71228.2
inf inf inf 4499.79
inf inf inf 3775.18
inf inf inf 283751
inf inf inf 303865
inf inf inf 38926.7
inf inf inf 82618.9
inf inf inf 43579.2
inf inf inf 354068
inf inf inf 78844.3
inf inf inf 15330.8
inf inf inf 22360.5
inf inf inf 118914
inf inf inf 104134
