-nan -nan -nan -nan
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
inf inf inf inf
-nan -nan -nan -nan
17.6311 15.0974 12.9818 11.9278
0.00723362 0.00654053 0.00687545 0.00972408
93.0788 76.5601 inf 100.793
2.5226 2.34984 1.71137 2.43817
7.44489 6.73666 7.65172 8.86725
1047.67 936.598 inf 998.105
19.9511 16.153 19.0534 16.1216
0.767216 0.701211 0.632764 0.721914
0.892806 0.684888 0.927845 0.959597
14.8622 14.3118 28.0209 10.8935
0.207249 0.205726 0.315985 0.206317
1 inf inf inf
16.6241 17.1002 23.9117 19.0515
115.826 93.6424 101.738 133.519
8.84851 7.58899 10.3059 9.93149
0.927818 0.756737 1.06102 0.850252
