-nan -nan -nan -nan
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
-nan -nan -nan -nan
1 0.881146 0.74624 0.612095
1 0.881177 0.645338 inf
1 0.922863 0.727104 0.67579
1 0.819664 0.76473 0.586496
1 0.879295 0.790954 0.529781
1 0.863693 0.710593 0.493719
1 0.853429 0.827487 0.725411
1 0.874258 0.78005 0.523774
1 0.868164 0.780109 0.533274
1 0.83186 0.754126 0.646372
1 0.887614 0.784895 0.520641
1 inf inf inf
1 0.827577 0.772657 0.539732
1 0.881503 0.773553 0.678467
1 0.910809 0.711553 0.571002
1 0.844733 0.750834 inf
1 0.913823 0.745233 0.611914
1 0.72681 0.761823 0.588468
1 0.930375 0.835339 0.583901
1 0.787875 0.729093 0.54434
1 0.789789 0.715841 0.562499
1 0.835335 0.804861 0.599813
1 0.851139 0.742562 0.591397
1 0.825597 0.748861 0.494624
1 0.767273 0.643038 inf
1 0.795927 0.701466 0.590477
1 0.833127 0.76759 0.777121
1 0.907463 0.787241 0.580543
1 inf 0.834579 0.682855
1 0.89464 0.778722 0.502834
1 0.955332 0.826828 0.581558
1 0.866827 0.756868 0.60942
1 0.836241 0.740445 0.524484
1 inf inf inf
1 0.870443 0.771335 0.518411
1 0.91281 0.841701 0.592025
1 0.894589 0.8108 0.620117
1 0.786638 0.738376 0.48452
1 0.905781 0.835234 0.688283
1 0.835529 0.725323 0.495051
1 0.918974 0.770999 0.553242
1 0.84744 0.814617 0.593437
1 0.875556 0.700722 inf
1 0.761068 0.727498 inf
1 0.788791 0.87101 0.639581
1 0.862222 0.783442 0.508505
1 1.03831 1.10541 0.879777
1 0.869824 0.778414 0.540717
1 0.777339 0.636818 0.575209
1 0.840239 0.707929 0.527726
1 0.863387 0.723117 0.514785
1 0.909921 0.753756 0.62785
1 0.915815 0.68563 0.470627
1 0.882445 0.822361 0.625257
1 0.820235 0.711646 0.510735
1 inf 0.796936 0.627333
1 0.871265 0.867354 0.586725
1 0.860348 0.667454 0.482015
1 0.846859 0.702737 0.592018
1 inf 0.818964 0.498854
1 0.911958 0.844779 0.658617
1 0.880747 0.728097 0.559238
1 0.863034 0.767244 0.714658
1 0.865288 0.823807 0.658109
1 0.923356 0.766976 0.56203
1 0.817674 0.808973 0.67875
1 0.806347 0.631146 0.639849
1 0.820306 0.804811 0.611407
1 0.943938 0.828922 0.615674
1 0.890273 0.823184 0.57348
1 1.04944 0.936593 0.580413
1 0.825264 0.795883 0.611321
1 0.942418 0.752271 0.533801
1 0.843174 0.761814 0.550473
1 inf 0.711116 0.459709
1 0.877009 inf 0.568463
1 0.801142 0.867594 0.489014
1 0.897565 0.83192 0.720591
1 0.965216 0.779164 0.522966
1 0.840767 0.707785 0.54212
1 0.829569 0.667303 0.408761
1 0.841587 0.739252 0.445441
1 0.886633 0.830076 0.6438
1 0.81404 0.701401 0.479607
1 0.981395 0.705762 0.710189
1 0.8988 inf 0.494204
1 0.903321 0.759937 0.52501
1 0.854213 0.847257 0.613909
1 0.848847 0.708974 0.575405
1 0.864028 0.833526 0.519758
1 0.999675 0.773727 0.748625
1 0.941587 0.882593 0.547028
1 0.929629 0.801484 0.689408
1 0.821863 0.767087 0.601079
1 0.865674 0.744476 inf
1 0.857524 0.700954 0.578052
1 0.891448 0.715564 0.491331
1 0.792876 0.811674 0.600696
1 0.942066 0.640723 inf
