-nan -nan -nan
0.856296 0.736304 0.676523
0.904185 0.950486 1.34429
0.82253 inf 1.08288
0.931515 0.678415 0.96653
0.90487 1.02778 1.19105
0.893982 inf 0.95269
0.809627 0.955002 0.808053
0.913968 0.824754 0.940953
0.767118 1.03925 1.07481
0.962967 1.88539 0.732968
0.992649 1.52466 0.995504
inf inf inf
1.02864 1.43838 1.14602
0.808475 0.878369 1.15276
0.857657 1.1647 1.12239
0.815609 1.14357 0.916401
0.854031 0.900196 0.782761
0.834 1.10965 0.998829
0.899714 0.760823 1.11091
0.906529 1.03449 0.689425
0.89859 1.00538 1.17246
0.793604 0.967233 0.673451
0.732565 1.09885 0.990869
0.924137 1.23221 1.02797
0.758207 0.924353 1.2023
0.762381 1.19641 0.869745
0.853751 0.629551 0.720736
0.86193 1.00575 1.16543
0.847974 0.737527 0.694088
0.918426 0.947701 0.82982
0.840054 1.1587 1.00748
0.914399 1.5695 1.092
0.909582 1.07557 1.29904
0.99894 0.831022 0.991764
0.918353 1.09245 0.811719
0.857816 1.07414 1.52003
0.880741 1.0063 1.00479
0.832764 0.93143 1.22725
inf 1.03928 0.709423
0.808997 1.52496 0.700965
0.837685 0.696576 0.916852
0.850881 1.01446 0.736614
0.941039 0.977312 0.777645
0.945697 0.954153 0.868033
0.903361 1.04989 inf
0.943275 0.675392 0.699506
0.808837 0.821066 1.06068
0.719974 1.09624 inf
0.776913 0.947431 1.09144
0.868997 0.817223 1.3247
0.876725 0.826543 0.847253
0.892887 0.906587 0.870233
0.884713 1.17972 1.32354
0.790056 0.618671 1.22018
inf 1.51988 1.42845
0.834002 0.924275 0.826368
0.853691 1.10444 1.03348
0.819166 0.96881 1.14554
inf inf inf
0.788388 0.901037 0.833084
0.8442 0.692982 0.808356
0.843578 0.780257 1.0689
0.74334 1.04299 1.11784
0.835773 1.56295 0.771475
0.817888 1.54977 1.26242
0.874467 0.937514 0.682836
0.918367 0.82573 1.15586
0.858503 0.790986 0.882576
0.858206 0.8607 0.975817
0.894571 1.57492 0.73231
0.882312 0.716691 0.689642
0.880971 0.866512 0.763869
0.976974 inf 0.915424
0.80589 0.784744 1.02745
0.811164 1.10731 0.924806
0.811861 0.942478 1.05523
0.803955 1.05147 0.796536
0.830287 0.927801 1.15999
0.934767 0.869549 0.712986
0.81182 1.02576 1.27939
1.04798 0.629659 0.72723
0.916731 1.08882 0.96984
0.830811 0.981169 0.818276
0.820122 0.885523 0.911469
0.821732 1.62205 1.0799
0.935979 0.967837 1.01328
0.822411 0.860042 inf
0.876949 0.825284 0.675313
0.9215 1.48632 0.749909
0.80831 0.971299 0.573994
0.847689 1.03869 0.806476
0.833705 0.917834 1.22483
0.958126 0.782537 1.45949
0.943473 1.97919 1.10475
0.925807 0.927664 0.715011
0.819689 0.752045 1.08499
0.915166 1.06509 1.22837
0.828149 0.726703 0.86809
0.938212 0.979943 0.899085
