-nan -nan -nan -nan
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
inf inf inf 1
-nan -nan -nan -nan
1 0.884827 0.7446 0.612095
1 0.869442 0.695357 inf
1 0.921952 0.729288 0.67579
1 0.82605 0.771809 0.586496
1 0.884057 0.803534 0.529781
1 0.871995 0.724884 0.493719
1 0.857314 0.830176 0.725411
1 0.880948 0.768998 0.523774
1 0.874403 0.786426 0.533274
1 0.835978 0.778284 0.646372
1 0.892586 0.782641 0.520641
1 inf inf inf
1 0.837342 0.773161 0.539732
1 0.887429 0.805803 0.678467
1 0.905158 0.714057 0.571002
1 0.867822 0.750791 inf
1 0.903329 0.754927 0.611914
1 0.733987 0.728913 0.588468
1 0.919896 0.845998 0.583901
1 0.791218 0.721762 0.54434
1 0.800926 0.704697 0.562499
1 0.845516 0.796215 0.599813
1 0.853199 0.749498 0.591397
1 0.83532 0.737942 0.494624
1 0.780537 0.63216 inf
1 0.81109 0.706447 0.590477
1 0.837095 0.791059 0.777121
1 0.901615 0.803867 0.580543
1 inf inf 0.682855
1 0.921733 0.800696 0.502834
1 0.942406 0.819775 0.581558
1 0.878725 0.743008 0.60942
1 0.852251 0.72622 0.524484
1 0.870544 inf inf
1 0.883876 0.80541 0.518411
1 0.898548 0.84933 0.592025
1 0.905542 0.796349 0.620117
1 0.80948 0.72538 0.48452
1 0.922131 0.87379 0.688283
1 0.85709 0.710039 0.495051
1 0.930759 inf 0.553242
1 0.863212 0.820917 0.593437
1 0.894174 0.726141 inf
1 0.777674 0.761127 inf
1 0.788783 0.870846 0.639581
1 0.874294 0.794859 0.508505
1 0.962197 1.14826 0.879777
1 0.876715 0.803517 0.540717
1 0.797321 0.653039 0.575209
1 0.860895 0.697459 0.527726
1 0.875313 0.744434 0.514785
1 0.895221 0.766423 0.62785
1 0.934391 0.700647 0.470627
1 0.900242 0.845827 0.625257
1 0.836492 0.728083 0.510735
1 inf 0.793585 0.627333
1 0.916297 0.857651 0.586725
1 0.897003 0.724325 0.482015
1 0.863768 0.737491 0.592018
1 0.950949 0.829811 0.498854
1 0.923203 0.87735 0.658617
1 0.898123 0.723879 0.559238
1 0.879519 0.759899 0.714658
1 0.880665 0.831583 0.658109
1 0.926303 0.778873 0.56203
1 0.84374 0.788534 0.67875
1 0.810159 0.635454 0.639849
1 0.839969 0.788759 0.611407
1 0.938478 0.864149 0.615674
1 0.914914 0.805833 0.57348
1 0.988643 0.959063 0.580413
1 0.85309 0.772647 0.611321
1 0.928379 0.747489 0.533801
1 0.890109 0.78907 0.550473
1 0.905168 0.738599 0.459709
1 0.891056 0.755279 0.568463
1 0.833085 0.821483 0.489014
1 0.896982 0.824734 0.720591
1 0.987797 0.793596 0.522966
1 0.876654 0.699356 0.54212
1 0.864029 0.690934 0.408761
1 0.861969 0.728692 0.445441
1 0.916503 0.891395 0.6438
1 0.83137 0.684347 0.479607
1 0.956314 0.750996 0.710189
1 0.947463 inf 0.494204
1 0.939126 0.774982 0.52501
1 0.878712 0.8397 0.613909
1 0.849709 0.707529 0.575405
1 0.881102 0.835174 0.519758
1 0.947041 0.789971 0.748625
1 1.00742 0.867151 0.547028
1 0.946941 0.822812 0.689408
1 0.851273 0.74885 0.601079
1 0.88768 0.774505 inf
1 0.885619 0.743211 0.578052
1 0.913794 0.73522 0.491331
1 0.819173 0.798231 0.600696
1 0.919964 0.681444 inf
